key	de-DE	en-US	es-ES	fr-FR	it-IT	ja-JP	ko-KR	pl-PL	pt-BR	ru-RU	zh-HANS	zh-HANT	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.IncludeDetentionBasins]	Individuell angepasste Wasserquelle, die mit Niederschlag und Schneeschmelze aufsteigt und langsam abfließt, wenn das Wetter trocken ist. Sie haben eine maximale Wasseroberflächenhöhe aber keine minimale Wasseroberfläche. Möglicherweise müssen Sie die globale Verdunstungsrate in den Einstellungen für wünschenswerte Infiltration des Teichwassers anpassen.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Fuente de agua modificado que se levanta con precisión y nieve y lentamente drena cuando el tiempo está seco. Tienen una elevación máxima de la superficie del agua y una elevación mínima de la superficie del agua. Es posible que necesite ajustar la tasa global de evaporación en los ajustes para la infiltración deseable del agua del estanque.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Fonte de água customizada que sobe com precipitação e degelo, e drena lentamente quando o tempo está seco. Têm uma elevação máxima da superfície de água, mas não tem uma elevação mínima da superfície de água. Poderá ser necessário ajustar a taxa de evaporação global nas configurações para um nível adequado da lagoa.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	Custom modded water source that rises with precipitation and snowmelt and slowly drains when the weather is dry. They have a maximum water surface elevation but no minimum water surface elevation. You may need to adjust the global evaporation rate in the settings for desirable infiltration of the pond water.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]	Kleineren Radius probieren	Try Smaller Radii	Probar Radii más pequeño	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	Experimente uma área menor	Try Smaller Radii	Try Smaller Radii	Try Smaller Radii	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.TrySmallerRadii]	Lässt dich versuchen, eine Wasserquelle mit einem Radius kleiner als 5 m zu erstellen. Es wird nicht immer funktionieren, sondern auf einen funktionierenden Radius ausgeweitet werden.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Permite tratar de hacer una fuente de agua con un radio menor de 5 metros. No siempre funcionará, sino que aumentará a un radio que funcione.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Permite fazer uma fonte de água com um raio menor que 5m. Nem sempre funcionará, mas será aumentada para um raio que funcione.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	Lets you try to make a water source with a radius smaller than 5m. It will not always work, but will be increased to a radius that does work.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]	Verdunstungsrate	Evaporation Rate	Tasa de Evaporación	Evaporation Rate	Evaporation Rate	Evaporation Rate	Evaporation Rate	Evaporation Rate	Taxa de Evaporação	Evaporation Rate	Evaporation Rate	Evaporation Rate	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EvaporationRate]	Sollte wahrscheinlich bei den Standardeinstellungen bleiben, es sei denn, Sie benutzen ein Regen- oder Hochwasserrückhaltebecken. Die tatsächliche Verdampfungsrate ist 1000x geringer, dies gibt ihnen jedoch mehr Kontrolle über die Rate. Dies ist global und sie müssen gegeben falls die Wasserrate an Wasserquellen anpassen.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Probablemente deberías dejarlo por defecto a menos que esté usando las cuencas de detención o retención. La tasa de evaporación real es de 1000 veces más pequeña, pero esto le da control sobre la tasa. Esto es global y puede que desee reequilibrar e incrementar los flujos de fuentes de agua después de aumentarlo.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	Should probably leave at default unless you are using detention or retention basins. Actual evaporation rate is 1000x smaller but this gives you control over the rate. This is global and you may want to rebalance and increase flows of water sources after increasing it.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]	Saisonale Wasserflüsse aktivieren	Enable Seasonal Streams	Habilitar flujos estacionales	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	Enable Seasonal Streams	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableSeasonalStreams]	Saisonale Wasserflüsse nimmt Flüsse (modifizierte Wasserquellen mit konstanter Rate) und bindet sie an das Klima und das Wetter für die Karte. Wenn Ihre Karte zum Beispiel einen trockenen Sommer hat, werden diese Wasserquellen im Sommer abnehmen. Saisonale Bäche selbst sollten keine Überschwemmungen verursachen, da die Standardwassermenge der Karte als Höchstwert behandelt wird, sofern Sie sie nicht ändern. Alle Aspekte sind optional und können in den Einstellungen des Mods angepasst werden.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Los flujos estacionales toman Corrientes (fuentes de agua con frecuencia modificadas) y los vinculan al clima y al tiempo para el mapa. Por ejemplo, si el mapa presenta un verano seco, estas fuentes de agua disminuirán durante el verano. Los flujos estacionales por sí solos no deberían causar inundación, ya que trata la cantidad predeterminada de la fuente de agua del mapa como un máximo a menos que la cambie. Todos los aspectos son opcionales y ajustables en los ajustes del mod.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	Seasonal streams takes Streams (Modified Constant Rate Water Sources) and ties them to the climate and weather for the map. For example, if your map features a dry summer, then these water sources will decrease during the summer. Seasonal streams by it-self should not cause flooding since it treats the map's default water source amount as a maximum unless you change it. All aspects are optional and adjustable in the mod's settings.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]	Schneeschmelze simulieren	Simulate Snow Melt	Simular derretimiento de la nieve	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	Simulate Snow Melt	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.SimulateSnowMelt]	Simulieren Sie Schneeansammlung und Schneeschmelze. Die Schneeschmelze ist derzeit nicht an die Schneedarstellung gekoppelt. Dies betrifft Wasserquellen mit konstantem Durchfluss sowie Regen- und Hochwasserrückhaltebecken.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simula la acumulación de nieve y el derribo de la nieve. La fundición de la nieve no está actualmente vinculada a los visuales de la nieve. Esto afecta a las fuentes de agua de tasa de constancia, las cuencas de detención y retención.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	Simulate snow accumulation and snow melt. Snow melt is not currently tied to snow visuals. This affects Constant Rate Water Sources, Detention and Retention basins.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]	Konstante Durchflussrate	Constant Flow Rate	Tasa de flujo constante	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	Constant Flow Rate	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.ConstantFlowRate]	Konstante Durchflussrate von Wasserflüssen (Modifizierte Wasserquellen mit konstanten Wasserflüssen) unabhängig von Saison oder Wetter.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Tasa de flujo constante desde los flujos (fuentes de agua de tasa de constante modificada) no afectada por la temporada o el clima.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	Constant flow rate from  Streams (Modified Constant Rate Water Sources) unaffected by season or weather.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]	Saisonalität	Seasonality	Estacionalidad	Seasonality	Seasonality	Seasonality	Seasonality	Seasonality	Seasonality	Seasonality	Seasonality	Seasonality	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamSeasonality]	Die Wasserlaufrate der Bäche (modifizierte konstante Wasserquellen) werden in der Jahreszeit mit dem höchsten mittleren saisonalen Niederschlag um diesen Prozentsatz erhöht. Die anderen Jahreszeiten werden proportional sein.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Los flujos de corriente (fuentes de agua de tasa de constante modificadas) se incrementarán en este porcentaje durante la temporada con la precipitación estacional media más alta. Otras temporadas serán proporcionales.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage during the season with the highest mean seasonal precipitation. Other seasons will be proportional.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]	Sturmwassereffekte	Stormwater Effects	Efectos de aguas tormentosas	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	Stormwater Effects	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.StreamStormwaterEffects]	Die Wasserlaufrate der Bäche (modifizierte konstante Wasserquellen) werden um diesen Prozentsatz steigen, wenn die aktuelle Niederschlagsmenge (Regen) maximal ist. Weniger Niederschlag ist verhältnismäßig.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Los flujos de agua(fuentes de agua de tasa de constante modificadas) se incrementarán en este porcentaje cuando la precipitación de la corriente (lluvia) esté en un máximo. Menos precisión es proporcional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	Streams (Modified Constant Rate Water Sources) flowrates will increase by this percentage when current precipitation (rain) is at a maximum. Less precipitation is proportional.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]	Minimaler Multiplikator	Minimum Multiplier	Multiplicador Mínimo	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	Minimum Multiplier	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MinimumMultiplier]	Minimaler Multiplikator für Bachflussraten.	Minimum multiplier applied to stream flowrates.	Multiplicador mínimo aplicado a las tasas de flujo de agua.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	Minimum multiplier applied to stream flowrates.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]	Maximaler Multiplikator	Maximum Multiplier	Multiplicador máximo	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	Maximum Multiplier	
Options.OPTION_DESCRIPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.MaximumMultiplier]	Maximaler Multiplikator für Bachflussraten.	Maximum multiplier applied to stream flowrates.	Multiplicador máximo aplicado a las tasas de flujo de agua.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	Maximum multiplier applied to stream flowrates.	
Options.OPTION[Water_Features.Water_Features.WaterFeaturesMod.WaterFeaturesSettings.EnableWavesAndTides]	Wellen und Gezeiten aktivieren	Enable Waves and Tides	Habilitar Olas y Mareas	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	Enable Waves and Tides	
